City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Conde,BR,83.25,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
501,Namatanai,PG,79.32,light rain,-3.6667,152.4333,Seagulls Inn Namatani
503,Lexington,US,75.29,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
506,Ilheus,BR,85.01,broken clouds,-14.7889,-39.0494,Barravento Hotel
509,Rampura,IN,89.53,broken clouds,30.25,75.2333,Akash
513,Bushehr,IR,81.28,overcast clouds,28.9684,50.8385,Yas Hotel
518,Puerto Ayacucho,VE,83.14,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
527,Kalabo,ZM,77.0,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
537,Salinopolis,BR,82.99,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
538,Kisangani,CD,83.89,scattered clouds,0.5167,25.2,Grand Ramela Hotel
540,Havelock,US,77.95,clear sky,34.8791,-76.9013,Sherwood Motel
