City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Safford,US,32.834,-109.7076,66.11,13,0,5.88,clear sky
342,Kirakira,SB,-10.4544,161.9205,79.83,84,45,3.31,scattered clouds
343,Jahangirabad,IN,28.4167,78.1,93.0,12,1,6.6,clear sky
344,Ponta Do Sol,PT,32.6667,-17.1,70.12,81,81,10.29,broken clouds
345,Nortelandia,BR,-14.4547,-56.8028,91.74,43,11,7.63,few clouds
346,Bubaque,GW,11.2833,-15.8333,78.8,67,19,13.53,few clouds
347,Bayan,CN,46.0833,127.4,58.48,70,99,11.01,overcast clouds
348,Pevek,RU,69.7008,170.3133,0.66,95,97,3.74,overcast clouds
349,Asfi,MA,32.2994,-9.2372,64.4,63,22,16.51,few clouds
350,Am Timan,TD,11.0297,20.2827,88.09,41,100,11.39,light rain
351,Aklavik,CA,68.2191,-135.0107,30.78,92,100,2.59,overcast clouds
352,Yatou,CN,37.15,122.3833,53.42,93,91,3.91,overcast clouds
353,Mount Isa,AU,-20.7333,139.5,69.57,100,100,1.14,overcast clouds
354,Koshurnikovo,RU,54.1667,93.3,23.05,91,49,4.54,scattered clouds
355,Uravakonda,IN,14.95,77.2667,97.25,22,69,10.45,broken clouds
356,Lujiang,CN,31.2581,117.2817,68.32,96,100,2.91,overcast clouds
357,Mandalgovi,MN,45.7625,106.2708,25.52,41,1,15.1,clear sky
358,Alofi,NU,-19.0595,-169.9187,79.97,76,99,9.4,moderate rain
359,Runcu,RO,45.1167,23.1333,63.77,57,49,7.94,scattered clouds
360,Tallahassee,US,30.4383,-84.2807,80.33,74,75,10.36,broken clouds
361,Bogale,MM,16.2833,95.4,86.0,65,11,9.69,few clouds
362,Vologda,RU,59.2187,39.8886,49.98,86,100,9.06,overcast clouds
363,Hammerfest,NO,70.6634,23.6821,34.25,64,40,8.05,light snow
364,Kapoeta,SS,4.7717,33.5903,71.2,92,100,10.47,heavy intensity rain
365,Bangkalan,ID,-7.0455,112.7351,84.15,84,38,4.32,scattered clouds
366,Sechura,PE,-5.5569,-80.8222,72.03,73,84,12.26,broken clouds
367,Severo-Kurilsk,RU,50.6789,156.125,31.64,97,100,16.96,light snow
368,Port-Gentil,GA,-0.7193,8.7815,85.96,74,40,12.66,scattered clouds
369,Riyadh,SA,24.6877,46.7219,75.34,28,96,10.27,overcast clouds
370,La Rioja,ES,42.25,-2.5,60.58,49,50,10.13,scattered clouds
371,Dongying,CN,37.4564,118.4856,63.57,82,82,11.81,broken clouds
372,Khatanga,RU,71.9667,102.5,-3.32,100,13,1.92,few clouds
373,Sabzevar,IR,36.2126,57.6819,87.08,19,40,0.0,scattered clouds
374,Dezhou,CN,37.4486,116.2925,71.46,61,2,8.66,clear sky
375,Korbach,DE,51.2756,8.873,51.58,71,98,5.21,overcast clouds
376,Road Town,VG,18.4167,-64.6167,80.64,69,40,9.22,scattered clouds
377,Socorro,US,31.6546,-106.3033,64.26,38,0,16.42,clear sky
378,Camana,PE,-16.6228,-72.7111,70.09,76,100,7.81,overcast clouds
379,Henties Bay,NA,-22.116,14.2845,64.24,67,0,9.22,clear sky
380,Miles City,US,46.4083,-105.8406,43.34,56,1,7.0,clear sky
381,Vysokogornyy,RU,50.1167,139.15,11.89,97,38,2.04,scattered clouds
382,Broome,US,42.2506,-75.833,63.01,65,83,7.0,broken clouds
383,Steamboat Springs,US,40.485,-106.8317,33.3,81,40,3.44,fog
384,Fukue,JP,32.6881,128.8419,69.31,94,100,25.12,overcast clouds
385,Yulara,AU,-25.2406,130.9889,64.24,59,40,9.22,scattered clouds
386,Zhigansk,RU,66.7697,123.3711,5.74,92,54,2.75,broken clouds
387,Vigrestad,NO,58.5667,5.7,52.9,79,61,15.55,broken clouds
388,Ojinaga,MX,29.5667,-104.4167,73.42,64,40,16.11,scattered clouds
389,Kavaratti,IN,10.5669,72.642,85.55,71,21,5.26,few clouds
390,Nome,US,64.5011,-165.4064,30.27,93,100,4.61,overcast clouds
391,Saint Anthony,US,45.0205,-93.218,34.9,83,100,16.11,overcast clouds
392,Grand Gaube,MU,-20.0064,57.6608,77.4,70,4,7.0,clear sky
393,Stromness,GB,58.965,-3.296,46.36,84,100,11.01,overcast clouds
394,Lavrentiya,RU,65.5833,-171.0,10.62,91,63,6.71,broken clouds
395,Dubuque,US,42.4833,-90.8668,38.68,59,100,19.57,overcast clouds
396,Huarmey,PE,-10.0681,-78.1522,70.72,77,100,7.63,overcast clouds
397,Bumbuna,SL,9.05,-11.7333,96.48,34,99,3.31,overcast clouds
398,Olden,NO,61.8364,6.8064,48.94,93,100,6.49,overcast clouds
399,Medicine Hat,CA,50.0501,-110.6683,56.21,37,20,9.22,few clouds
400,Flagstaff,US,35.1981,-111.6513,50.52,30,0,3.0,clear sky
401,Manyana,BW,-23.4,21.7167,74.07,31,28,6.93,scattered clouds
402,Hay River,CA,60.8156,-115.7999,35.58,64,40,8.05,scattered clouds
403,Glenwood Springs,US,39.5505,-107.3248,37.06,93,0,2.68,clear sky
404,Olafsvik,IS,64.8945,-23.7142,45.0,74,91,5.73,overcast clouds
405,Kailua,US,21.4022,-157.7394,73.65,81,1,5.99,clear sky
406,Vao,NC,-22.6667,167.4833,73.6,67,100,23.11,overcast clouds
407,Shenkursk,RU,62.1091,42.896,41.95,88,99,6.24,overcast clouds
408,Torata,PE,-17.0769,-70.8433,67.62,32,98,5.75,overcast clouds
409,San Quintin,MX,30.4833,-115.95,69.67,29,0,1.34,clear sky
410,Alta Floresta,BR,-9.8756,-56.0861,93.02,62,20,9.22,few clouds
411,Balma,FR,43.6111,1.4994,64.67,77,20,8.05,few clouds
412,Chastyye,RU,57.2888,54.9728,51.39,87,100,4.12,overcast clouds
413,Gidam,IN,18.9833,81.4,91.45,26,95,2.57,overcast clouds
414,Marienburg,PL,54.0359,19.0266,45.88,86,100,11.23,overcast clouds
415,Katobu,ID,-4.9408,122.5276,75.58,92,65,3.27,broken clouds
416,Maridi,SS,4.9158,29.4742,75.6,72,100,5.28,light rain
417,Salta,AR,-24.7859,-65.4117,73.58,63,0,3.44,clear sky
418,Batemans Bay,AU,-35.7167,150.1833,63.1,89,68,3.6,broken clouds
419,Baglung,NP,28.2719,83.5898,71.02,25,1,5.61,clear sky
420,Mtwango,TZ,-9.0167,34.8,63.12,93,82,7.09,light rain
421,Qasigiannguit,GL,68.8193,-51.1922,27.1,89,99,1.52,overcast clouds
422,Esso,RU,55.9333,158.7,26.47,97,100,1.41,light snow
423,Artigas,UY,-30.4,-56.4667,78.19,76,100,20.24,overcast clouds
424,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,74,75,2.24,broken clouds
425,Coquimbo,CL,-29.9533,-71.3436,55.13,100,75,6.91,broken clouds
426,Dudinka,RU,69.4058,86.1778,2.62,98,97,6.04,overcast clouds
427,Sola,VU,-13.8833,167.55,79.47,77,75,8.43,broken clouds
